05-31-2024 15:14:43 RAM 5501/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [30%@956,18%@729,19%@729,15%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.968C SOC2@51.593C SOC0@51.562C CV1@-256C GPU@52.062C tj@53.125C SOC1@52.187C CV2@-256C VDD_IN 6169mW/4896mW VDD_CPU_GPU_CV 1520mW/983mW VDD_SOC 1762mW/1401mW
05-31-2024 15:14:44 RAM 5501/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [23%@729,15%@729,14%@729,18%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.093C SOC2@51.75C SOC0@51.593C CV1@-256C GPU@52.187C tj@53.093C SOC1@52.125C CV2@-256C VDD_IN 6089mW/4923mW VDD_CPU_GPU_CV 1480mW/994mW VDD_SOC 1722mW/1408mW
05-31-2024 15:14:45 RAM 5501/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [27%@960,16%@729,12%@729,19%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53C SOC2@51.593C SOC0@51.562C CV1@-256C GPU@52.218C tj@53C SOC1@52.125C CV2@-256C VDD_IN 6169mW/4951mW VDD_CPU_GPU_CV 1520mW/1006mW VDD_SOC 1762mW/1416mW
05-31-2024 15:14:46 RAM 5501/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [23%@960,19%@883,18%@729,13%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.375C SOC2@51.656C SOC0@51.468C CV1@-256C GPU@52.562C tj@53.375C SOC1@52.093C CV2@-256C VDD_IN 6089mW/4976mW VDD_CPU_GPU_CV 1480mW/1016mW VDD_SOC 1722mW/1423mW
05-31-2024 15:14:47 RAM 5501/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [29%@854,15%@729,19%@729,34%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 97%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.156C SOC2@51.656C SOC0@51.5C CV1@-256C GPU@52.187C tj@53.156C SOC1@52.156C CV2@-256C VDD_IN 6129mW/5000mW VDD_CPU_GPU_CV 1480mW/1026mW VDD_SOC 1722mW/1429mW
05-31-2024 15:14:48 RAM 5501/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [30%@960,13%@960,20%@729,13%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 47%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.187C SOC2@51.625C SOC0@51.406C CV1@-256C GPU@52.187C tj@53.281C SOC1@52.125C CV2@-256C VDD_IN 6089mW/5023mW VDD_CPU_GPU_CV 1480mW/1036mW VDD_SOC 1722mW/1435mW
05-31-2024 15:14:49 RAM 5502/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [27%@960,15%@960,28%@960,19%@960,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 63%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.187C SOC2@51.625C SOC0@51.5C CV1@-256C GPU@52.218C tj@53.187C SOC1@52.281C CV2@-256C VDD_IN 6169mW/5046mW VDD_CPU_GPU_CV 1480mW/1045mW VDD_SOC 1722mW/1441mW
05-31-2024 15:14:50 RAM 5502/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [23%@729,17%@883,17%@806,18%@806,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 49%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.156C SOC2@51.656C SOC0@51.562C CV1@-256C GPU@52.468C tj@53.156C SOC1@52.187C CV2@-256C VDD_IN 6129mW/5068mW VDD_CPU_GPU_CV 1480mW/1053mW VDD_SOC 1722mW/1447mW
05-31-2024 15:14:51 RAM 5502/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [20%@729,14%@823,17%@960,22%@960,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 52%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.062C SOC2@51.656C SOC0@51.625C CV1@-256C GPU@52.218C tj@53.062C SOC1@52.218C CV2@-256C VDD_IN 6129mW/5089mW VDD_CPU_GPU_CV 1480mW/1062mW VDD_SOC 1762mW/1453mW
05-31-2024 15:14:52 RAM 5502/7451MB (lfb 4x4MB) SWAP 68/3725MB (cached 0MB) CPU [25%@729,15%@729,16%@960,22%@960,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 89%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.218C SOC2@51.718C SOC0@51.562C CV1@-256C GPU@52.25C tj@53.218C SOC1@52.281C CV2@-256C VDD_IN 6169mW/5110mW VDD_CPU_GPU_CV 1480mW/1070mW VDD_SOC 1722mW/1458mW
