05-31-2024 15:35:13 RAM 5558/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [23%@729,14%@729,22%@729,13%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.156C SOC2@51.687C SOC0@51.531C CV1@-256C GPU@52.312C tj@53.156C SOC1@52.125C CV2@-256C VDD_IN 6490mW/5481mW VDD_CPU_GPU_CV 1760mW/1323mW VDD_SOC 1762mW/1518mW
05-31-2024 15:35:14 RAM 5558/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [21%@852,14%@729,17%@729,12%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.156C SOC2@51.687C SOC0@51.625C CV1@-256C GPU@52.656C tj@53.156C SOC1@52.218C CV2@-256C VDD_IN 6450mW/5503mW VDD_CPU_GPU_CV 1720mW/1332mW VDD_SOC 1762mW/1523mW
05-31-2024 15:35:15 RAM 5558/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [23%@960,12%@729,12%@729,15%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.062C SOC2@51.687C SOC0@51.593C CV1@-256C GPU@52.593C tj@53.062C SOC1@52.093C CV2@-256C VDD_IN 6410mW/5523mW VDD_CPU_GPU_CV 1680mW/1340mW VDD_SOC 1762mW/1529mW
05-31-2024 15:35:16 RAM 5558/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [23%@729,15%@729,13%@729,12%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.781C SOC0@51.562C CV1@-256C GPU@52.593C tj@53.125C SOC1@52.125C CV2@-256C VDD_IN 6370mW/5541mW VDD_CPU_GPU_CV 1640mW/1347mW VDD_SOC 1762mW/1534mW
05-31-2024 15:35:17 RAM 5558/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [25%@848,16%@729,19%@729,9%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.75C SOC0@51.5C CV1@-256C GPU@52.312C tj@53.343C SOC1@52.187C CV2@-256C VDD_IN 6330mW/5558mW VDD_CPU_GPU_CV 1640mW/1353mW VDD_SOC 1762mW/1539mW
05-31-2024 15:35:18 RAM 5559/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [32%@806,19%@806,13%@729,12%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 50%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.281C SOC2@51.718C SOC0@51.5C CV1@-256C GPU@52.531C tj@53.062C SOC1@52.156C CV2@-256C VDD_IN 6370mW/5575mW VDD_CPU_GPU_CV 1680mW/1360mW VDD_SOC 1762mW/1543mW
05-31-2024 15:35:19 RAM 5559/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [25%@729,9%@729,11%@729,22%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.093C SOC2@51.843C SOC0@51.625C CV1@-256C GPU@52.343C tj@53.093C SOC1@52.187C CV2@-256C VDD_IN 6490mW/5594mW VDD_CPU_GPU_CV 1760mW/1368mW VDD_SOC 1762mW/1548mW
05-31-2024 15:35:20 RAM 5559/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [22%@960,15%@729,14%@729,7%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.093C SOC2@51.75C SOC0@51.593C CV1@-256C GPU@52.562C tj@53.093C SOC1@52.25C CV2@-256C VDD_IN 6490mW/5612mW VDD_CPU_GPU_CV 1760mW/1376mW VDD_SOC 1762mW/1552mW
05-31-2024 15:35:21 RAM 5559/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [21%@729,16%@729,13%@729,15%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.781C SOC0@51.593C CV1@-256C GPU@52.562C tj@53.343C SOC1@52.156C CV2@-256C VDD_IN 6490mW/5629mW VDD_CPU_GPU_CV 1760mW/1383mW VDD_SOC 1762mW/1556mW
05-31-2024 15:35:22 RAM 5559/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [23%@960,13%@729,12%@729,13%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.75C SOC0@51.843C CV1@-256C GPU@52.531C tj@53.125C SOC1@52.281C CV2@-256C VDD_IN 6450mW/5645mW VDD_CPU_GPU_CV 1760mW/1390mW VDD_SOC 1762mW/1560mW
05-31-2024 15:35:23 RAM 5559/7451MB (lfb 3x2MB) SWAP 125/3725MB (cached 0MB) CPU [18%@729,14%@729,9%@729,13%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.187C SOC2@51.812C SOC0@51.687C CV1@-256C GPU@52.375C tj@53.187C SOC1@52.375C CV2@-256C VDD_IN 6450mW/5660mW VDD_CPU_GPU_CV 1720mW/1397mW VDD_SOC 1762mW/1564mW
