05-31-2024 13:09:25 RAM 4201/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [34%@960,12%@960,19%@960,16%@1036,19%@729,18%@729] EMC_FREQ 25%@2133 GR3D_FREQ 47%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57C SOC2@56C SOC0@55.531C CV1@-256C GPU@57C tj@57.25C SOC1@55.812C CV2@-256C VDD_IN 7667mW/7604mW VDD_CPU_GPU_CV 2551mW/2710mW VDD_SOC 1876mW/1791mW
05-31-2024 13:09:26 RAM 4202/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [24%@1510,21%@1344,20%@1344,22%@1344,25%@729,16%@729] EMC_FREQ 25%@2133 GR3D_FREQ 75%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.062C SOC2@55.937C SOC0@55.531C CV1@-256C GPU@57C tj@57.062C SOC1@55.875C CV2@-256C VDD_IN 7667mW/7605mW VDD_CPU_GPU_CV 2511mW/2706mW VDD_SOC 1876mW/1792mW
05-31-2024 13:09:27 RAM 4202/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [24%@1510,31%@1113,19%@1113,24%@1113,16%@729,20%@729] EMC_FREQ 25%@2133 GR3D_FREQ 73%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.031C SOC2@55.906C SOC0@55.781C CV1@-256C GPU@56.625C tj@57.031C SOC1@55.875C CV2@-256C VDD_IN 7627mW/7606mW VDD_CPU_GPU_CV 2511mW/2701mW VDD_SOC 1876mW/1794mW
05-31-2024 13:09:28 RAM 4202/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [25%@1036,21%@1036,21%@1036,16%@1036,12%@729,16%@729] EMC_FREQ 25%@2133 GR3D_FREQ 87%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.093C SOC2@55.906C SOC0@55.531C CV1@-256C GPU@56.937C tj@57.093C SOC1@55.843C CV2@-256C VDD_IN 7667mW/7607mW VDD_CPU_GPU_CV 2551mW/2698mW VDD_SOC 1876mW/1796mW
05-31-2024 13:09:29 RAM 4202/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [30%@1510,29%@1510,25%@1253,19%@1036,22%@729,14%@729] EMC_FREQ 26%@2133 GR3D_FREQ 94%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.281C SOC2@56C SOC0@55.562C CV1@-256C GPU@56.843C tj@57.281C SOC1@55.781C CV2@-256C VDD_IN 7627mW/7608mW VDD_CPU_GPU_CV 2511mW/2694mW VDD_SOC 1876mW/1798mW
05-31-2024 13:09:30 RAM 4202/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [23%@1344,20%@1344,21%@1344,27%@1344,17%@729,14%@729] EMC_FREQ 25%@2133 GR3D_FREQ 41%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.031C SOC2@55.875C SOC0@55.562C CV1@-256C GPU@56.687C tj@57.031C SOC1@55.781C CV2@-256C VDD_IN 7587mW/7607mW VDD_CPU_GPU_CV 2472mW/2689mW VDD_SOC 1876mW/1800mW
05-31-2024 13:09:31 RAM 4202/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [28%@1267,21%@1267,21%@1190,23%@1267,14%@729,14%@729] EMC_FREQ 25%@2133 GR3D_FREQ 45%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.062C SOC2@55.906C SOC0@55.468C CV1@-256C GPU@57.093C tj@57.093C SOC1@55.75C CV2@-256C VDD_IN 7667mW/7608mW VDD_CPU_GPU_CV 2551mW/2686mW VDD_SOC 1876mW/1801mW
05-31-2024 13:09:32 RAM 4202/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [28%@1036,26%@1036,26%@1036,28%@1036,10%@729,10%@729] EMC_FREQ 25%@2133 GR3D_FREQ 82%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.062C SOC2@55.968C SOC0@55.468C CV1@-256C GPU@56.843C tj@57.062C SOC1@55.687C CV2@-256C VDD_IN 7627mW/7609mW VDD_CPU_GPU_CV 2511mW/2683mW VDD_SOC 1876mW/1803mW
05-31-2024 13:09:33 RAM 4202/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [33%@1497,16%@1510,28%@1510,18%@1510,9%@729,11%@729] EMC_FREQ 25%@2133 GR3D_FREQ 80%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57C SOC2@55.906C SOC0@55.531C CV1@-256C GPU@56.937C tj@57C SOC1@55.75C CV2@-256C VDD_IN 7747mW/7612mW VDD_CPU_GPU_CV 2631mW/2682mW VDD_SOC 1876mW/1804mW
05-31-2024 13:09:34 RAM 4202/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [27%@1510,20%@1510,26%@1510,28%@1510,15%@729,25%@729] EMC_FREQ 26%@2133 GR3D_FREQ 42%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.843C SOC2@55.968C SOC0@55.562C CV1@-256C GPU@56.875C tj@56.875C SOC1@55.781C CV2@-256C VDD_IN 7827mW/7616mW VDD_CPU_GPU_CV 2671mW/2681mW VDD_SOC 1916mW/1806mW
05-31-2024 13:09:35 RAM 4202/7451MB (lfb 1x2MB) SWAP 608/3725MB (cached 4MB) CPU [32%@1113,22%@1113,27%@1190,33%@1190,12%@729,18%@729] EMC_FREQ 27%@2133 GR3D_FREQ 54%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.031C SOC2@55.968C SOC0@55.75C CV1@-256C GPU@56.625C tj@57.031C SOC1@55.781C CV2@-256C VDD_IN 7787mW/7619mW VDD_CPU_GPU_CV 2631mW/2680mW VDD_SOC 1916mW/1808mW
